Red,Green,Blue,Name
32,112,224,royalblue
32,112,240,dodgerblue
32,128,0,green
32,128,16,forestgreen
32,128,32,forestgreen
32,128,48,forestgreen
32,128,64,seagreen
32,128,80,seagreen
32,128,96,seagreen
32,128,112,seagreen
32,128,128,teal
32,128,144,darkcyan
32,128,160,darkcyan
32,128,176,steelblue
32,128,192,steelblue
32,128,208,royalblue
32,128,224,dodgerblue
32,128,240,dodgerblue
32,144,0,forestgreen
32,144,16,forestgreen
32,144,32,forestgreen
32,144,48,forestgreen
32,144,64,seagreen
32,144,80,seagreen
32,144,96,seagreen
32,144,112,seagreen
32,144,128,darkcyan
32,144,144,darkcyan
32,144,160,lightseagreen
32,144,176,lightseagreen
32,144,192,lightseagreen
32,144,208,dodgerblue
32,144,224,dodgerblue
32,144,240,dodgerblue
32,160,0,forestgreen
32,160,16,forestgreen
32,160,32,forestgreen
32,160,48,forestgreen
32,160,64,seagreen
32,160,80,seagreen
32,160,96,seagreen
32,160,112,mediumseagreen
32,160,128,mediumseagreen
32,160,144,lightseagreen
32,160,160,lightseagreen
32,160,176,lightseagreen
32,160,192,lightseagreen
32,160,208,lightseagreen
32,160,224,dodgerblue
32,160,240,dodgerblue
32,176,0,forestgreen
32,176,16,forestgreen
32,176,32,forestgreen
32,176,48,limegreen
32,176,64,limegreen
32,176,80,seagreen
32,176,96,mediumseagreen
32,176,112,mediumseagreen
32,176,128,mediumseagreen
32,176,144,lightseagreen
32,176,160,lightseagreen
32,176,176,lightseagreen
32,176,192,lightseagreen
32,176,208,lightseagreen
32,176,224,dodgerblue
32,176,240,dodgerblue
32,192,0,limegreen
32,192,16,limegreen
32,192,32,limegreen
32,192,48,limegreen
32,192,64,limegreen
32,192,80,limegreen
32,192,96,mediumseagreen
32,192,112,mediumseagreen
32,192,128,mediumseagreen
32,192,144,lightseagreen
32,192,160,lightseagreen
32,192,176,lightseagreen
32,192,192,lightseagreen
32,192,208,darkturquoise
32,192,224,darkturquoise
32,192,240,deepskyblue
32,208,0,limegreen
32,208,16,limegreen
32,208,32,limegreen
32,208,48,limegreen
32,208,64,limegreen
